LexToken(VAL_INT,10,63,1704)
LexToken(OP_ARITHMETIC,'+',63,1707)
LexToken(VAL_INT,5,63,1709)
LexToken(DEL_RPAREN,')',63,1710)
LexToken(OP_ARITHMETIC,'*',63,1712)
LexToken(VAL_INT,2,63,1714)
LexToken(OP_ARITHMETIC,'/',63,1716)
LexToken(VAL_INT,3,63,1718)
LexToken(OP_ARITHMETIC,'-',63,1720)
LexToken(VAL_INT,1,63,1722)
LexToken(OP_ARITHMETIC,'%',63,1724)
LexToken(VAL_INT,2,63,1726)
LexToken(DEL_SEMICOLON,';',63,1727)
LexToken(ID,'variable',64,1731)
LexToken(OP_SINGLE_INCREMENT,'++',64,1739)
LexToken(DEL_SEMICOLON,';',64,1741)
LexToken(ID,'variable',65,1745)
LexToken(OP_SINGLE_DECREMENT,'--',65,1753)
LexToken(DEL_SEMICOLON,';',65,1755)
LexToken(KW_SWITCH,'switch',67,1760)
LexToken(DEL_LPAREN,'(',67,1767)
LexToken(ID,'variable',67,1768)
LexToken(DEL_RPAREN,')',67,1776)
LexToken(DEL_LBRACE,'{',67,1778)
LexToken(KW_CASE,'case',68,1784)
LexToken(VAL_INT,100,68,1789)
LexToken(DEL_COLON,':',68,1792)
LexToken(KW_PRINT,'print',69,1800)
LexToken(DEL_LPAREN,'(',69,1805)
LexToken(ID,'cadenaDoble',69,1806)
LexToken(DEL_RPAREN,')',69,1817)
LexToken(DEL_SEMICOLON,';',69,1818)
LexToken(KW_BREAK,'break',70,1826)
LexToken(DEL_SEMICOLON,';',70,1831)
LexToken(KW_DEFAULT,'default',71,1837)
LexToken(DEL_COLON,':',71,1844)
LexToken(KW_PRINT,'print',72,1852)
LexToken(DEL_LPAREN,'(',72,1857)
LexToken(ID,'cadenaSimple',72,1858)
LexToken(DEL_RPAREN,')',72,1870)
LexToken(DEL_SEMICOLON,';',72,1871)
LexToken(KW_BREAK,'break',73,1879)
LexToken(DEL_SEMICOLON,';',73,1884)
LexToken(DEL_RBRACE,'}',74,1888)
LexToken(KW_FOR,'for',76,1895)
LexToken(DEL_LPAREN,'(',76,1899)
LexToken(DT_INT,'int',76,1900)
LexToken(ID,'i',76,1904)
LexToken(OP_ASSIGN,'=',76,1906)
LexToken(VAL_INT,0,76,1908)
LexToken(DEL_SEMICOLON,';',76,1909)
LexToken(ID,'i',76,1911)
LexToken(OP_LESS,'<',76,1913)
LexToken(VAL_INT,5,76,1915)
LexToken(DEL_SEMICOLON,';',76,1916)
LexToken(ID,'i',76,1918)
LexToken(OP_SINGLE_INCREMENT,'++',76,1919)
LexToken(DEL_RPAREN,')',76,1921)
LexToken(DEL_LBRACE,'{',76,1923)
LexToken(KW_PRINT,'print',77,1929)
LexToken(DEL_LPAREN,'(',77,1934)
LexToken(ID,'i',77,1935)
LexToken(DEL_RPAREN,')',77,1936)
LexToken(DEL_SEMICOLON,';',77,1937)
LexToken(DEL_RBRACE,'}',78,1941)
LexToken(DT_INT,'int',80,1946)
LexToken(ID,'operacionInvalida',80,1950)
LexToken(OP_ASSIGN,'=',80,1968)
LexToken(VAL_INT,5,80,1970)
LexToken(OP_ARITHMETIC,'/',80,1972)
LexToken(VAL_INT,3,80,1974)
LexToken(DEL_SEMICOLON,';',80,1975)
LexToken(KW_RETURN,'return',82,1980)
LexToken(DEL_SEMICOLON,';',82,1986)
LexToken(DEL_RBRACE,'}',83,1988)
LexToken(KW_CLASS,'class',86,2045)
LexToken(ID,'ParentClass',86,2051)
LexToken(DEL_LBRACE,'{',86,2063)
LexToken(DT_INT,'int',87,2067)
LexToken(ID,'method',87,2071)
LexToken(DEL_LPAREN,'(',87,2077)
LexToken(DEL_RPAREN,')',87,2078)
LexToken(DEL_LBRACE,'{',87,2080)
LexToken(KW_RETURN,'return',88,2086)
LexToken(VAL_INT,0,88,2093)
LexToken(DEL_SEMICOLON,';',88,2094)
LexToken(DEL_RBRACE,'}',89,2098)
LexToken(DEL_RBRACE,'}',90,2100)
LexToken(KW_CLASS,'class',93,2190)
LexToken(ID,'SonClass',93,2196)
LexToken(ID,'extends',93,2205)
LexToken(ID,'ParentClass',93,2213)
LexToken(DEL_LBRACE,'{',93,2225)
LexToken(DT_INT,'int',94,2229)
LexToken(ID,'method',94,2233)
LexToken(DEL_LPAREN,'(',94,2239)
LexToken(DEL_RPAREN,')',94,2240)
LexToken(DEL_LBRACE,'{',94,2242)
LexToken(KW_RETURN,'return',95,2248)
LexToken(VAL_INT,1,95,2255)
LexToken(DEL_SEMICOLON,';',95,2256)
LexToken(DEL_RBRACE,'}',96,2260)
LexToken(DEL_RBRACE,'}',97,2262)

